konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,hargaproduk,anamapesaing,ahargapesaing,alinkpesaing,bnamapesaing,bhargapesaing,blinkpesaing
KBOGOR,D1549,Tas Diva,D1549 Tas Diva,15210,16900,https://shopee.co.id/DOMMO-D1549-Tas-DIVA-Slempang-2-Warna-Pita-Zipper-T083-Tas-Wanita-Slingbag-Tas-Fashion-i.135900627.14088709694?sp_atk=d5b6b27b-2bdc-4113-9555-613302576e78&xptdk=d5b6b27b-2bdc-4113-9555-613302576e78,16900,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1556,Tas Pocket JRX,D1556 Tas Pocket JRX,10875,13500,https://shopee.co.id/DOMMO-D1556-Tas-JRX-Selempang-Pocket-Tempat-Hp-Pria-Wanita-i.135900627.20217113934?sp_atk=81e062a8-8397-4dd7-b5d2-bd8d96104f54&xptdk=81e062a8-8397-4dd7-b5d2-bd8d96104f54,13500,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1501,Tas Jelly Kecil,D1501 Tas Jelly Kecil,16103,18499,https://shopee.co.id/DOMMO-D1501-Tas-Selempang-Mini-Tas-Handbag-Jelly-Bag-Mutiara-Gaya-Korea-Tas-Fashion-i.135900627.8583500317?sp_atk=62fdc2df-20ce-4c76-8e24-a54f9391e8b4&xptdk=62fdc2df-20ce-4c76-8e24-a54f9391e8b4,18499,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1501,Tas Jelly Besar,D1501 Tas Jelly Besar,24142,37499,https://shopee.co.id/DOMMO-D1501-Tas-Selempang-Mini-Tas-Handbag-Jelly-Bag-Mutiara-Gaya-Korea-Tas-Fashion-i.135900627.8583500317?sp_atk=62fdc2df-20ce-4c76-8e24-a54f9391e8b4&xptdk=62fdc2df-20ce-4c76-8e24-a54f9391e8b4,37499,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1257,Elmo Amelia,D1257 Elmo Amelia,7500,8667,https://shopee.co.id/-LOKAL-DOMMO-D1257-ELMO-AMELIA-JIMIN-Tas-Waistbag-Backpack-tanpa-aksesoris-Morymony-i.135900627.7125788092?sp_atk=3145cc83-e753-4535-9971-fac796b79edb&xptdk=3145cc83-e753-4535-9971-fac796b79edb,8667,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1352,Almira,D1352 Almira,9900,13000,https://shopee.co.id/product/135900627/6946657201/,13000,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1189,Akiko,D1189 Akiko,27000,28890,https://shopee.co.id/-LOKAL-DOMMO-D1189-AKIKO-Tas-Selempang-Wanita-MORYMONY-DARI-JAKARTA-BISA-COD-i.135900627.6417659816?sp_atk=99bedf80-89f5-49f1-84c2-c9bf11c9a46a&xptdk=99bedf80-89f5-49f1-84c2-c9bf11c9a46a,28890,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1288,Dompet Jessica,D1288 Dompet Jessica,20213,29899,https://shopee.co.id/-IMPOR-DOMMO-D1288-Dompet-Jessica-Panjang-Wanita-Dompet-Fashion-Wanita-Dompet-Wanita-Batam-Import-i.135900627.7532473729?sp_atk=10376a17-f2ed-4b19-bb49-9636ffe7233c&xptdk=10376a17-f2ed-4b19-bb49-9636ffe7233c,29899,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1580,RC Geovani,D1580 RC Geovani,12180,13999,https://shopee.co.id/DOMMO-D1580-Ransel-RC-GEOVANI-i.135900627.18329181247?sp_atk=7ebe794c-f179-42ee-8bec-8fbc4aadcece&xptdk=7ebe794c-f179-42ee-8bec-8fbc4aadcece,13999,MORY MONY,-,-,REYRESHY,-,-
KBOGOR,D1438,Tas Hazel,D1438 Tas Hazel,12599,14999,https://shopee.co.id/-LOKAL-DOMMO-D1438-Tas-HAZEL-Tas-Selempang-Pria-Wanita-i.135900627.7779035470?sp_atk=28ef0eca-568a-4ce3-b8e3-cfcab1eb49d6&xptdk=28ef0eca-568a-4ce3-b8e3-cfcab1eb49d6,14999,MORY MONY,-,-,REYRESHY,-,-
