konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,anamapesaing,alinkpesaing,bnamapesaing,blinkpesaing
IOSM,D2006,KAOS KAKI ANKLE DARI JAKARTA BISA POLOS,D2006 KAOS KAKI ANKLE DARI JAKARTA BISA POLOS,1600,2100,https://shopee.co.id/-IMPOR--D2006-Kaos-Kaki-Ankle-Dari-Jakarta-BISA-COD-Kaos-Kaki-Cute-Kaos-Kaki-Motif-i.135900627.2062053470?sp_atk=320e9ae3-2dd7-419f-a104-0a6dfce2fdd6,OSM,https://shopee.co.id/OSM-K312-Kaos-Kaki-Polos-Semata-Kaki-Kaos-Kaki-Ankle-Cute-Socks-Short-Socks-Sepatu-i.26616655.2100166765?sp_atk=c22bbe32-49c2-4bb6-8f01-84c96bcfe364,SK,https://shopee.co.id/ONE-P51-P54-Kaos-Kaki-Pendek-Dewasa-Kaos-Kaki-Semata-Kaki-Kaos-Kaki-Ankle-Motif-Short-Socks-i.265593587.9037083136?sp_atk=c19ad496-c37f-4b70-8ab7-e5cb691761ee
IOSM,D2006,KAOS KAKI ANKLE DARI JAKARTA BISA 3 WARNA,3 WARNA ,1673,2100,https://shopee.co.id/-IMPOR--D2006-Kaos-Kaki-Ankle-Dari-Jakarta-BISA-COD-Kaos-Kaki-Cute-Kaos-Kaki-Motif-i.135900627.2062053470?sp_atk=320e9ae3-2dd7-419f-a104-0a6dfce2fdd7,OSM,-,SK,-
IOSM,D2006,KAOS KAKI ANKLE DARI JAKARTA BISA LOVE,LOVE,1673,2100,https://shopee.co.id/-IMPOR--D2006-Kaos-Kaki-Ankle-Dari-Jakarta-BISA-COD-Kaos-Kaki-Cute-Kaos-Kaki-Motif-i.135900627.2062053470?sp_atk=320e9ae3-2dd7-419f-a104-0a6dfce2fdd8,OSM,-,SK,-
IOSM,D2006,KAOS KAKI ANKLE DARI JAKARTA BISA GARIS,GARIS,1673,2100,https://shopee.co.id/-IMPOR--D2006-Kaos-Kaki-Ankle-Dari-Jakarta-BISA-COD-Kaos-Kaki-Cute-Kaos-Kaki-Motif-i.135900627.2062053470?sp_atk=320e9ae3-2dd7-419f-a104-0a6dfce2fdd9,OSM,-,SK,-
IOSM,D2007,SLIMMING PANT ORIGINAL,D2007 SLIMMING PANT ORIGINAL,12898,15200,https://shopee.co.id/-IMPOR--D2007-Slimming-Pant-Original-Jakarta-BISA-COD-ATASAN-BAJU-ATASAN-MUNA-BAJU-KORSET-i.135900627.2063629657?sp_atk=1b5693db-d351-4439-bc37-1defbfed0c7c,OSM,https://shopee.co.id/OSM-Ba192-Baju-Kaos-Pelangsing-Slim-Cloth-Camisole-Top-Tank-Top-Baju-Dalam-i.26616655.1210751784?sp_atk=cddbef4f-46a5-4a02-bf58-012572cb4abf,SK,-
IOSM,D2009,KAOS KAKI POLOS SEMATA KAKI / KAOS KAKI ANKLE CUTE,D2009 KAOS KAKI POLOS SEMATA KAKI / KAOS KAKI ANKLE CUTE,1513,2199,https://shopee.co.id/-IMPOR--D2009-Kaos-Kaki-Polos-Semata-Kaki-Kaos-Kaki-Ankle-Cute-Socks-Short-Socks-Sepatu-i.135900627.7109713833?sp_atk=f1e7a9df-e7df-4d6c-a366-d8794372637a,OSM,https://shopee.co.id/OSM-K312-Kaos-Kaki-Polos-Semata-Kaki-Kaos-Kaki-Ankle-Cute-Socks-Short-Socks-Sepatu-i.26616655.2100166765?sp_atk=a69f78d3-3934-448d-a1d0-4d82bcca50f2,SK,https://shopee.co.id/ONE-P59-Kaos-Kaki-Semata-Kaki-Polos-Kaus-Kaki-Wanita-Kaos-Kaki-Ankle-Dewasa-Short-Socks-Import-i.265593587.5884974795?sp_atk=f990f4fb-d683-4b1e-a0d4-d0b095f31285
IOSM,D2010,KAOS KAKI LINE BROWN / KAOS KAKI ANKLE,D2010 KAOS KAKI LINE BROWN / KAOS KAKI ANKLE,1431,2100,https://shopee.co.id/-IMPOR--D2010-Kaos-Kaki-Line-Brown-Kaos-Kaki-Ankle-Cute-Socks-Short-Socks-Sepatu-i.135900627.6812022228?sp_atk=a21dfd46-6f97-49c0-a05f-24099bb9875d,OSM,https://shopee.co.id/OSM-K351-Kaos-Kaki-Motif-Beruang-Kaos-Kaki-Ankle-Cute-Socks-Short-Socks-Sepatu-i.26616655.2259017422?sp_atk=f7cfdc93-716c-4c19-b338-b80de002beac,SK,https://shopee.co.id/ONE-P32-33-Kaos-Kaki-Dewasa-Pendek-Kaus-Kaki-Wanita-Pria-Motif-Brown-Kaos-Kaki-Ankle-Korea-Daisy-i.265593587.5557111287?sp_atk=12e58db5-2cb0-4144-8b17-35279e213797
IOSM,D2014,KAOS KAKI PENDEK SEMATA KAKI ANKLE CUTE,D2014 KAOS KAKI PENDEK SEMATA KAKI ANKLE CUTE,1536,2599,https://shopee.co.id/-IMPOR--D2014-Kaos-Kaki-Pendek-Semata-Kaki-Ankle-Cute-Short-Socks-Petak-Kotak-i.135900627.5715517177?sp_atk=17bdcf4d-1eff-424d-b300-bde0163890bb,OSM,https://shopee.co.id/OSM-K354-Kaos-Kaki-Pendek-Semata-Kaki-Ankle-Cute-Socks-Short-Socks-Import-Batam-Sepatu-i.26616655.2196556264?sp_atk=e853011f-4b7f-41c6-8049-2341c2b3e6f7,SK,-
IOSM,D2018,KAOS KAKI KOREA KAOS KAOS DECIDED,D2018 KAOS KAKI KOREA - KAOS KAOS DECIDED,1763,3148,https://shopee.co.id/-IMPOR--D2018-Kaos-Kaki-Korea-Kaos-Kaos-Decided-Kaos-Kaki-Fashion-Socks-i.135900627.4151608886?sp_atk=99c11a44-60df-4320-9a01-e345b04d341c,OSM,-,SK,-
IOSM,D2019,KAOS KAKI TRANSPARAN KAOS KAKI WANITA,D2019 KAOS KAKI TRANSPARAN - KAOS KAKI WANITA,2080,2288,https://shopee.co.id/-IMPOR--D2019-Kaos-Kaki-Transparan-Kaos-Kaki-Wanita-Kaos-Kaki-Bunga-Socks-K5010-i.135900627.4051613392?sp_atk=d8620406-5e1d-4088-ac88-a28faa08c96c,OSM,-,SK,https://shopee.co.id/ONE-P32-33-Kaos-Kaki-Dewasa-Pendek-Kaus-Kaki-Wanita-Pria-Motif-Brown-Kaos-Kaki-Ankle-Korea-Daisy-i.265593587.5557111287?sp_atk=12e58db5-2cb0-4144-8b17-35279e213797
